Fire#,X,Y,Z,oriX,oriY
107,68850.0,48450.0,-948.4931538041201,1350,950
108,71400.0,48450.0,-1824.8147927251212,1400,950
109,73950.0,48450.0,-2137.474173962357,1450,950
110,76500.0,48450.0,-4261.494652219917,1500,950
111,79050.0,48450.0,-6080.061655730894,1550,950
112,81600.0,48450.0,-6496.157611163927,1600,950
113,84150.0,48450.0,-5896.2605214833775,1650,950
114,86700.0,48450.0,-6091.921735119002,1700,950
115,89250.0,48450.0,-3954.8545246144913,1750,950
116,91800.0,48450.0,-3383.8251304320765,1800,950
117,94350.0,48450.0,-4663.714078298185,1850,950
118,96900.0,48450.0,-2648.0853098154676,1900,950
119,99450.0,48450.0,-914.2006059703144,1950,950
120,51000.0,51000.0,7906.93390157837,1000,1000
121,53550.0,51000.0,7167.606175850509,1050,1000
122,56100.0,51000.0,5849.176806873293,1100,1000
123,58650.0,51000.0,4639.405714617467,1150,1000
124,61200.0,51000.0,3371.9938196367275,1200,1000
125,63750.0,51000.0,2258.0019510636575,1250,1000
126,66300.0,51000.0,1208.9986741131906,1300,1000
127,68850.0,51000.0,137.52638324854706,1350,1000
128,71400.0,51000.0,-524.6409601198102,1400,1000
129,73950.0,51000.0,-1196.1187990165145,1450,1000
130,76500.0,51000.0,-4032.5716879349347,1500,1000
131,79050.0,51000.0,-5894.188178447283,1550,1000
132,81600.0,51000.0,-6632.953748880597,1600,1000
133,84150.0,51000.0,-6350.053127652348,1650,1000
134,86700.0,51000.0,-6138.85041611273,1700,1000
135,89250.0,51000.0,-4558.112722528376,1750,1000
136,91800.0,51000.0,-5009.390140572626,1800,1000
137,94350.0,51000.0,-3833.171012980547,1850,1000
138,96900.0,51000.0,-2615.78556488048,1900,1000
139,99450.0,51000.0,-1236.0565468635832,1950,1000
140,51000.0,53550.0,8099.924071414876,1000,1050
141,53550.0,53550.0,7204.377366340559,1050,1050
142,56100.0,53550.0,6194.408949192384,1100,1050
143,58650.0,53550.0,5079.739914585738,1150,1050
144,61200.0,53550.0,3801.79647548277,1200,1050
145,63750.0,53550.0,2855.589152163,1250,1050
146,66300.0,53550.0,2001.9643989008055,1300,1050
147,68850.0,53550.0,1373.8402342872214,1350,1050
148,71400.0,53550.0,888.3186374115649,1400,1050
149,73950.0,53550.0,-1632.0374464991655,1450,1050
150,76500.0,53550.0,-3916.1958681641845,1500,1050
151,79050.0,53550.0,-5629.431307452064,1550,1050
152,81600.0,53550.0,-6744.431401008462,1600,1050
153,84150.0,53550.0,-6583.667885169983,1650,1050
154,86700.0,53550.0,-6171.484444597627,1700,1050
155,89250.0,53550.0,-6457.931051135045,1750,1050
156,91800.0,53550.0,-5904.062979003613,1800,1050
157,94350.0,53550.0,-4196.34483058932,1850,1050
158,96900.0,53550.0,-3400.01262323477,1900,1050
159,99450.0,53550.0,-2539.9859637884565,1950,1050
160,51000.0,56100.0,8288.601875970882,1000,1100
161,53550.0,56100.0,7556.480056733675,1050,1100
162,56100.0,56100.0,6651.844278675322,1100,1100
163,58650.0,56100.0,5617.661264059752,1150,1100
164,61200.0,56100.0,4461.779689676157,1200,1100
165,63750.0,56100.0,3756.312415360677,1250,1100
166,66300.0,56100.0,3513.637606260447,1300,1100
167,68850.0,56100.0,3127.8421436632634,1350,1100
168,71400.0,56100.0,927.3599464141807,1400,1100
169,73950.0,56100.0,-1264.2202046601396,1450,1100
170,76500.0,56100.0,-3846.7852748556397,1500,1100
171,79050.0,56100.0,-5082.700350341207,1550,1100
172,81600.0,56100.0,-6671.811255674099,1600,1100
173,84150.0,56100.0,-6857.421390611319,1650,1100
174,86700.0,56100.0,-6215.120808828099,1700,1100
175,89250.0,56100.0,-6368.213000886179,1750,1100
176,91800.0,56100.0,-6724.977388243792,1800,1100
177,94350.0,56100.0,-5662.745726570699,1850,1100
178,96900.0,56100.0,-4660.160568921976,1900,1100
179,99450.0,56100.0,-4597.115336329072,1950,1100
180,51000.0,58650.0,8886.350307078217,1000,1150
181,53550.0,58650.0,8309.976675564129,1050,1150
182,56100.0,58650.0,6920.264295452187,1100,1150
183,58650.0,58650.0,6527.18123649363,1150,1150
184,61200.0,58650.0,5856.26017855787,1200,1150
185,63750.0,58650.0,5888.263260278145,1250,1150
186,66300.0,58650.0,4799.73283456764,1300,1150
187,68850.0,58650.0,2810.8446003442423,1350,1150
188,71400.0,58650.0,1029.9344775005648,1400,1150
189,73950.0,58650.0,-751.8484371197246,1450,1150
190,76500.0,58650.0,-3385.3363930403502,1500,1150
191,79050.0,58650.0,-4548.888216337626,1550,1150
192,81600.0,58650.0,-5728.652254372153,1600,1150
193,84150.0,58650.0,-6706.463883859093,1650,1150
194,86700.0,58650.0,-6967.234074189956,1700,1150
195,89250.0,58650.0,-7136.707235060322,1750,1150
196,91800.0,58650.0,-7158.795746155629,1800,1150
197,94350.0,58650.0,-7368.472146952895,1850,1150
198,96900.0,58650.0,-7203.287704295194,1900,1150
199,99450.0,58650.0,-6229.898076494195,1950,1150
200,51000.0,61200.0,8731.735028877945,1000,1200
201,53550.0,61200.0,9002.085506283867,1050,1200
202,56100.0,61200.0,7659.622117448202,1100,1200
203,58650.0,61200.0,6948.172134969391,1150,1200
204,61200.0,61200.0,6076.751888291434,1200,1200
205,63750.0,61200.0,4965.4858817202,1250,1200
206,66300.0,61200.0,3386.042327666688,1300,1200
207,68850.0,61200.0,747.9259956498881,1350,1200
208,71400.0,61200.0,-3.571371081428879,1400,1200
209,73950.0,61200.0,-2231.6647446330044,1450,1200
210,76500.0,61200.0,-4130.737115736018,1500,1200
211,79050.0,61200.0,-4997.13988456517,1550,1200
212,81600.0,61200.0,-5000.6751212071395,1600,1200
213,84150.0,61200.0,-5969.750233994193,1650,1200
214,86700.0,61200.0,-6937.655891789923,1700,1200
215,89250.0,61200.0,-6559.930528526247,1750,1200
216,91800.0,61200.0,-6494.13256226351,1800,1200
217,94350.0,61200.0,-7414.075517280905,1850,1200
218,96900.0,61200.0,-7566.607703777881,1900,1200
219,99450.0,61200.0,-6367.602476589238,1950,1200
220,51000.0,63750.0,7321.39810614329,1000,1250
221,53550.0,63750.0,8345.99975881708,1050,1250
222,56100.0,63750.0,7116.453268647314,1100,1250
223,58650.0,63750.0,5797.275792433,1150,1250
224,61200.0,63750.0,3928.8951656519057,1200,1250
225,63750.0,63750.0,3343.5743435608183,1250,1250
226,66300.0,63750.0,2111.966259022158,1300,1250
227,68850.0,63750.0,-909.0756414495154,1350,1250
228,71400.0,63750.0,-2400.2253436581195,1400,1250
229,73950.0,63750.0,-3314.7348474060836,1450,1250
230,76500.0,63750.0,-4993.065064829778,1500,1250
231,79050.0,63750.0,-5010.7047025711445,1550,1250
232,81600.0,63750.0,-4535.792040221557,1600,1250
233,84150.0,63750.0,-5787.4238168864695,1650,1250
234,86700.0,63750.0,-6929.549246987937,1700,1250
235,89250.0,63750.0,-6805.5440232388655,1750,1250
236,91800.0,63750.0,-6643.257421258194,1800,1250
237,94350.0,63750.0,-6834.881435493626,1850,1250
238,96900.0,63750.0,-7046.591484125067,1900,1250
239,99450.0,63750.0,-7585.49633664785,1950,1250
240,51000.0,66300.0,6591.830170232726,1000,1300
241,53550.0,66300.0,7532.682507553622,1050,1300
242,56100.0,66300.0,6278.4463288262305,1100,1300
243,58650.0,66300.0,4915.394942836334,1150,1300
244,61200.0,66300.0,4335.865502632423,1200,1300
245,63750.0,66300.0,2115.117768245098,1250,1300
246,66300.0,66300.0,582.8092695955456,1300,1300
247,68850.0,66300.0,-888.7219652402327,1350,1300
248,71400.0,66300.0,-3065.6753299892534,1400,1300
249,73950.0,66300.0,-3939.5247754543325,1450,1300
250,76500.0,66300.0,-4120.816095910728,1500,1300
251,79050.0,66300.0,-2630.500490276818,1550,1300
252,81600.0,66300.0,-1799.628515742872,1600,1300
253,84150.0,66300.0,-3150.8198223446634,1650,1300
254,86700.0,66300.0,-4090.487656540159,1700,1300
255,89250.0,66300.0,-4921.533759482741,1750,1300
256,91800.0,66300.0,-6821.704644373559,1800,1300
257,94350.0,66300.0,-6657.819715580297,1850,1300
258,96900.0,66300.0,-7063.1336829453485,1900,1300
259,99450.0,66300.0,-7606.977548046376,1950,1300
260,51000.0,68850.0,6216.839267904641,1000,1350
261,53550.0,68850.0,6683.084205024425,1050,1350
262,56100.0,68850.0,4821.737506058791,1100,1350
263,58650.0,68850.0,3985.7448664709227,1150,1350
264,61200.0,68850.0,1853.0910587185936,1200,1350
265,63750.0,68850.0,2038.787182993412,1250,1350
266,66300.0,68850.0,292.1524101160194,1300,1350
267,68850.0,68850.0,-1960.288844376233,1350,1350
268,71400.0,68850.0,-2015.1091968279543,1400,1350
269,73950.0,68850.0,-1047.8215873962054,1450,1350
270,76500.0,68850.0,-897.9765676991428,1500,1350
271,79050.0,68850.0,-214.89016822680242,1550,1350
272,81600.0,68850.0,814.1915289358094,1600,1350
273,84150.0,68850.0,8.282259106359561,1650,1350
274,86700.0,68850.0,-858.4666168066215,1700,1350
275,89250.0,68850.0,-4305.239577989105,1750,1350
276,91800.0,68850.0,-6972.8233811337805,1800,1350
277,94350.0,68850.0,-6833.80764364038,1850,1350
278,96900.0,68850.0,-7441.540511709483,1900,1350
279,99450.0,68850.0,-7154.465108140885,1950,1350
280,51000.0,71400.0,6028.752640044619,1000,1400
281,53550.0,71400.0,5882.398787454011,1050,1400
282,56100.0,71400.0,3931.008353623358,1100,1400
283,58650.0,71400.0,2256.277864844831,1150,1400
284,61200.0,71400.0,648.0837757656591,1200,1400
285,63750.0,71400.0,-272.230008270124,1250,1400
286,66300.0,71400.0,-984.1701299732413,1300,1400
287,68850.0,71400.0,-741.1879089910999,1350,1400
288,71400.0,71400.0,757.2966837145541,1400,1400
289,73950.0,71400.0,1686.5447599266972,1450,1400
290,76500.0,71400.0,1960.0059016202013,1500,1400
291,79050.0,71400.0,2619.2388588430513,1550,1400
292,81600.0,71400.0,3124.1338534793795,1600,1400
293,84150.0,71400.0,477.23801009389535,1650,1400
294,86700.0,71400.0,-1439.2386029388108,1700,1400
295,89250.0,71400.0,-3608.826980922622,1750,1400
296,91800.0,71400.0,-7071.620830566202,1800,1400
297,94350.0,71400.0,-6943.540787081739,1850,1400
298,96900.0,71400.0,-7390.054395823097,1900,1400
299,99450.0,71400.0,-6561.494459603798,1950,1400
300,51000.0,73950.0,4133.81850581348,1000,1450
301,53550.0,73950.0,5430.873075197447,1050,1450
302,56100.0,73950.0,4519.852588822494,1100,1450
303,58650.0,73950.0,3785.447752672084,1150,1450
304,61200.0,73950.0,3555.61330140857,1200,1450
305,63750.0,73950.0,1832.283788753486,1250,1450
306,66300.0,73950.0,810.4165970152881,1300,1450
307,68850.0,73950.0,1646.5274719423505,1350,1450
308,71400.0,73950.0,2685.057247573468,1400,1450
309,73950.0,73950.0,3903.3993270543033,1450,1450
310,76500.0,73950.0,4592.019140401033,1500,1450
311,79050.0,73950.0,3862.793012107417,1550,1450
